iter	Logloss
0	0.6636148428
1	0.6382648712
2	0.6156199627
3	0.5992409929
4	0.583299187
5	0.573509329
6	0.5677221751
7	0.5572974774
8	0.5474193915
9	0.5413741555
10	0.534366879
11	0.5288093669
12	0.5261502984
13	0.5231364716
14	0.5199429324
15	0.5138124005
16	0.5108665258
17	0.5081553793
18	0.5054065754
19	0.5029248629
20	0.4986700872
21	0.4975106973
22	0.4953273193
23	0.4941826243
24	0.492991722
25	0.4915497355
26	0.4897808045
27	0.4888381941
28	0.4879832573
29	0.486584615
30	0.4857639526
31	0.4850721502
32	0.4841576683
33	0.4834681293
34	0.4819769206
35	0.4794533404
36	0.4766788658
37	0.4756802409
38	0.4748157304
39	0.4742733522
40	0.4734536093
41	0.4719150476
42	0.4711782206
43	0.4705280982
44	0.4686948892
45	0.468079519
46	0.4665400858
47	0.464974812
48	0.4631952329
49	0.462104151
50	0.4613871311
51	0.4610446254
52	0.4600643362
53	0.4593174968
54	0.4587020254
55	0.4577494152
56	0.457046583
57	0.4566695077
58	0.4559180629
59	0.4556631732
60	0.4551099053
61	0.4544635125
62	0.454072709
63	0.4533347783
64	0.4526655009
65	0.4522341866
66	0.4520447769
67	0.4514919025
68	0.4510699933
69	0.4503445394
70	0.4490261256
71	0.4482818602
72	0.4476464856
73	0.447443703
74	0.4467383593
75	0.4461089755
76	0.445761719
77	0.4453970551
78	0.4451144873
79	0.4446561749
80	0.4439599925
81	0.443579853
82	0.4432814107
83	0.442481866
84	0.4413436442
85	0.4405416506
86	0.4399445877
87	0.4393962094
88	0.439131512
89	0.4386888805
90	0.4379204416
91	0.4369519702
92	0.4368180814
93	0.4365941194
94	0.4356984422
95	0.4349663784
96	0.4344776997
97	0.4341944875
98	0.4334044232
99	0.4331976247
100	0.4322090852
101	0.4315693314
102	0.4307098762
103	0.430393563
104	0.4299228993
105	0.4297070597
106	0.4287519863
107	0.4284283427
108	0.428227922
109	0.4275368381
110	0.4263731062
111	0.4260001664
112	0.4253980965
113	0.4251215438
114	0.4248646354
115	0.4243291117
116	0.4240895959
117	0.4237743354
118	0.4232833691
119	0.4223079945
120	0.422017752
121	0.4216127577
122	0.4208864878
123	0.4198038577
124	0.4193529341
125	0.4193095139
126	0.4187014982
127	0.4182083386
128	0.4175576056
129	0.416920651
130	0.4164274141
131	0.4154135371
132	0.4150981491
133	0.414544052
134	0.4141597189
135	0.4140868577
136	0.4135569861
137	0.4135256705
138	0.4131992797
139	0.4123828618
140	0.4118701928
141	0.411215274
142	0.411045619
143	0.410547829
144	0.4100143083
145	0.4096094448
146	0.4092379552
147	0.4089247271
148	0.408458771
149	0.4074041349
150	0.407396572
151	0.4065297147
152	0.405806095
153	0.405441223
154	0.4050525213
155	0.4043292118
156	0.4037396592
157	0.4031450259
158	0.4028798588
159	0.4022460221
160	0.4016284116
161	0.4008068482
162	0.4005540115
163	0.4000425275
164	0.3996863005
165	0.3994982885
166	0.3984696425
167	0.3980129471
168	0.3978036112
169	0.3975060086
170	0.396390717
171	0.3960942051
172	0.3953575144
173	0.394943208
174	0.3939039946
175	0.3932876959
176	0.3931586696
177	0.3927707832
178	0.3921797256
179	0.3918533262
180	0.3915883149
181	0.391078711
182	0.3907241554
183	0.3905222393
184	0.3901065647
185	0.3896317296
186	0.3894539811
187	0.3890639634
188	0.3882697401
189	0.3876679284
190	0.38733213
191	0.3866326318
192	0.3864432695
193	0.3854557865
194	0.3850126365
195	0.3847872336
196	0.3846307257
197	0.3839959148
198	0.3836319194
199	0.382733075
200	0.3822937239
201	0.3818451406
202	0.3811710982
203	0.3806479244
204	0.3799115161
205	0.3790887814
206	0.3788936689
207	0.3784012055
208	0.3780245171
209	0.3774214427
210	0.3765157947
211	0.3759130244
212	0.3754591872
213	0.3751094647
214	0.3750020946
215	0.3744890739
216	0.3736548968
217	0.3730081578
218	0.3723289865
219	0.3718111814
220	0.370955192
221	0.3704528968
222	0.3700311464
223	0.3691186287
224	0.3679097516
225	0.3676419668
226	0.3670551287
227	0.3659323809
228	0.3656413715
229	0.365127773
230	0.364521542
231	0.3641221678
232	0.3636335491
233	0.3623791096
234	0.3621377466
235	0.3617519427
236	0.3610661154
237	0.3600827967
238	0.3590550517
239	0.3586533927
240	0.3579654773
241	0.3574070996
242	0.3566522251
243	0.3560416069
244	0.3553116132
245	0.3548548173
246	0.3545876947
