iter	Logloss
247	0.3541246659
248	0.3540843254
249	0.3539438876
250	0.3534152636
251	0.3532797187
252	0.3526414281
253	0.3519275627
254	0.3517333771
255	0.3512923038
256	0.3505976609
257	0.3499380495
258	0.349767962
259	0.3492043603
260	0.349043029
261	0.3482773489
262	0.3475515176
263	0.3472464426
264	0.3468042149
265	0.3463930618
266	0.3461837389
267	0.3456527441
268	0.3455969478
269	0.3454513494
270	0.3449777039
271	0.3441987016
272	0.3441908363
273	0.3439794349
274	0.3434154524
275	0.3427132497
276	0.3421418066
277	0.3415001894
278	0.3410645032
279	0.3406679694
280	0.3405900282
281	0.3400647984
282	0.3400578246
283	0.3393402635
284	0.3388208114
285	0.3383569767
286	0.3383515041
287	0.337872953
288	0.3370793855
289	0.3367367851
290	0.3367314271
291	0.3362841899
292	0.335984827
293	0.3356611047
294	0.3350348009
295	0.3342716211
296	0.3339660708
297	0.3339609822
298	0.3334249683
299	0.3333984662
300	0.3333766032
301	0.3323860156
302	0.3319114374
303	0.3318711156
304	0.3313731956
305	0.3312910922
306	0.3308023769
307	0.3301937001
308	0.3301573238
309	0.3299002206
310	0.3298418236
311	0.3298371715
312	0.3298330606
313	0.3298290506
314	0.3292081559
315	0.3291235098
316	0.3285610395
317	0.3284717427
318	0.3282681114
319	0.3281897853
320	0.3278626065
321	0.3274061655
322	0.3266154366
323	0.3260638263
324	0.3260503542
325	0.3260467596
326	0.325374999
327	0.3249902969
328	0.3249152792
329	0.32467962
330	0.3240427912
331	0.3240374569
332	0.3240342814
333	0.323605363
334	0.3230648087
335	0.3230617953
336	0.3227106558
337	0.3226157814
338	0.3225767024
339	0.3219490397
340	0.3212088711
341	0.3211781398
342	0.3209197192
343	0.3202673805
344	0.3202646733
345	0.3201095325
346	0.3201063602
347	0.319972561
348	0.3195675404
349	0.3191602494
350	0.3191572082
351	0.3190740676
352	0.3187477479
353	0.3186114872
354	0.3180038172
355	0.3180008969
356	0.3177548645
357	0.3175854724
358	0.3171277671
359	0.3163401186
360	0.3159342086
361	0.3156206346
362	0.3155927451
363	0.3152696643
364	0.3145931259
365	0.3137260945
366	0.3133225738
367	0.3128398626
368	0.3122528478
369	0.3118852457
370	0.3113151518
371	0.3113126968
372	0.3109201787
373	0.3108650039
374	0.3104394677
375	0.3100423146
376	0.3094384665
377	0.3092109966
378	0.3086285161
379	0.3086132144
380	0.3083271989
381	0.3080350269
382	0.3077868692
383	0.3074181528
384	0.306881331
385	0.3064365612
386	0.3061038873
387	0.3054609763
388	0.3054398574
389	0.3051361388
390	0.3049113944
391	0.3048881751
392	0.3041277067
393	0.3034156001
394	0.3033680759
395	0.3032887465
396	0.3025885904
397	0.3019917479
398	0.3019292006
399	0.3016748117
400	0.3012480884
401	0.3010544827
402	0.300755907
403	0.2999637731
404	0.2999399974
405	0.2999194602
406	0.2996503635
407	0.2992405971
408	0.2986076673
409	0.2982708329
410	0.2975049262
411	0.2971878803
412	0.2969972226
413	0.2969943965
414	0.2968628416
415	0.2965521967
416	0.2958869145
417	0.2954290461
418	0.2948573195
419	0.2944769846
420	0.2940669874
421	0.293740077
422	0.2932920095
423	0.2929252549
424	0.2925331707
425	0.2920428248
426	0.2917555023
427	0.2916281992
428	0.2914564163
429	0.2913342947
430	0.2910750334
431	0.2904264475
432	0.2901323688
433	0.2896240624
434	0.289195844
435	0.2890064812
436	0.2884554875
437	0.2878227505
438	0.2873800427
439	0.2870182086
440	0.2867396286
441	0.2867377134
442	0.2864421311
443	0.2861216547
444	0.2861200132
445	0.2859680972
446	0.2853692991
447	0.2850962781
448	0.2844333211
449	0.2839849215
450	0.2835950875
451	0.2832437704
452	0.2828756896
453	0.2828718715
454	0.2824689031
455	0.2820472749
456	0.2816980719
457	0.2813975161
458	0.2811935286
459	0.2805084972
460	0.2800642843
461	0.2798434387
462	0.2794224109
463	0.2791049672
464	0.2786091647
465	0.2781584073
466	0.2781569468
467	0.2779183739
468	0.2777700684
469	0.2775073164
470	0.277287419
471	0.2770899905
472	0.2769072585
473	0.276691196
474	0.2766001076
475	0.2762828421
476	0.2762554144
477	0.2760468648
478	0.2759417829
479	0.2756570789
480	0.2754731487
481	0.2752216958
482	0.2750433053
483	0.2748829314
484	0.2747199639
485	0.2743282963
486	0.2739311582
487	0.2739298027
488	0.2736821063
489	0.2733507204
490	0.273108519
491	0.2728093693
492	0.272274484
493	0.2716819159
494	0.271500436
495	0.2713231134
496	0.2710975034
497	0.2707722306
498	0.2707075828
499	0.2704587292
